,gwl,abbrevs,names,min,median,max
0,GWL15-GWL12,WANorth,Western Australia North,0,2,3
1,GWL15-GWL12,WASouth,Western Australia South,0,1,2
2,GWL15-GWL12,NSW,New South Wales and Australian Capital Territory,0,0,1
3,GWL15-GWL12,VIC,Victoria,0,0,0
4,GWL15-GWL12,SA,South Australia,0,1,2
5,GWL15-GWL12,TAS,Tasmania,0,0,0
6,GWL15-GWL12,NT,Northern Territory,0,1,1
7,GWL15-GWL12,QLDNorth,Queensland North,0,0,0
8,GWL15-GWL12,QLDSouth,Queensland South,0,1,1
9,GWL15-GWL12,AUS,Australia,0,1,1
10,GWL20-GWL12,WANorth,Western Australia North,3,4,9
11,GWL20-GWL12,WASouth,Western Australia South,2,3,4
12,GWL20-GWL12,NSW,New South Wales and Australian Capital Territory,0,1,1
13,GWL20-GWL12,VIC,Victoria,0,0,0
14,GWL20-GWL12,SA,South Australia,2,3,3
15,GWL20-GWL12,TAS,Tasmania,0,0,0
16,GWL20-GWL12,NT,Northern Territory,1,1,4
17,GWL20-GWL12,QLDNorth,Queensland North,0,0,1
18,GWL20-GWL12,QLDSouth,Queensland South,1,2,4
19,GWL20-GWL12,AUS,Australia,1,2,4
20,GWL30-GWL12,WANorth,Western Australia North,7,13,26
21,GWL30-GWL12,WASouth,Western Australia South,4,8,14
22,GWL30-GWL12,NSW,New South Wales and Australian Capital Territory,1,2,4
23,GWL30-GWL12,VIC,Victoria,0,0,1
24,GWL30-GWL12,SA,South Australia,5,7,11
25,GWL30-GWL12,TAS,Tasmania,0,0,0
26,GWL30-GWL12,NT,Northern Territory,4,6,13
27,GWL30-GWL12,QLDNorth,Queensland North,1,1,3
28,GWL30-GWL12,QLDSouth,Queensland South,4,6,12
29,GWL30-GWL12,AUS,Australia,4,6,11
