,gwl,abbrevs,names,min,median,max
0,GWL12,WANorth,Western Australia North,165,176,195
1,GWL12,WASouth,Western Australia South,78,87,90
2,GWL12,NSW,New South Wales and Australian Capital Territory,35,42,48
3,GWL12,VIC,Victoria,12,16,18
4,GWL12,SA,South Australia,68,75,79
5,GWL12,TAS,Tasmania,0,0,0
6,GWL12,NT,Northern Territory,138,152,164
7,GWL12,QLDNorth,Queensland North,95,104,114
8,GWL12,QLDSouth,Queensland South,89,99,104
9,GWL12,AUS,Australia,97,104,111
10,GWL15,WANorth,Western Australia North,170,186,206
11,GWL15,WASouth,Western Australia South,86,90,99
12,GWL15,NSW,New South Wales and Australian Capital Territory,34,48,55
13,GWL15,VIC,Victoria,12,19,22
14,GWL15,SA,South Australia,72,81,87
15,GWL15,TAS,Tasmania,0,0,0
16,GWL15,NT,Northern Territory,152,164,179
17,GWL15,QLDNorth,Queensland North,102,113,127
18,GWL15,QLDSouth,Queensland South,88,109,116
19,GWL15,AUS,Australia,104,111,122
20,GWL20,WANorth,Western Australia North,185,199,226
21,GWL20,WASouth,Western Australia South,93,99,112
22,GWL20,NSW,New South Wales and Australian Capital Territory,38,52,62
23,GWL20,VIC,Victoria,13,22,26
24,GWL20,SA,South Australia,77,88,97
25,GWL20,TAS,Tasmania,0,0,1
26,GWL20,NT,Northern Territory,170,178,199
27,GWL20,QLDNorth,Queensland North,117,126,145
28,GWL20,QLDSouth,Queensland South,98,114,136
29,GWL20,AUS,Australia,113,122,137
30,GWL30,WANorth,Western Australia North,210,225,249
31,GWL30,WASouth,Western Australia South,107,117,129
32,GWL30,NSW,New South Wales and Australian Capital Territory,51,68,84
33,GWL30,VIC,Victoria,18,28,36
34,GWL30,SA,South Australia,92,104,118
35,GWL30,TAS,Tasmania,0,1,1
36,GWL30,NT,Northern Territory,192,209,230
37,GWL30,QLDNorth,Queensland North,145,157,180
38,GWL30,QLDSouth,Queensland South,124,139,154
39,GWL30,AUS,Australia,132,145,157
