gwl,abbrevs,names,min,median,max
GWL12,AUS,Australia,43.12685530540905,43.720359601827376,44.016878578257945
GWL15,AUS,Australia,43.598278279227635,43.978857181035124,44.6359142738874
GWL20,AUS,Australia,44.21746197091217,44.560177536815885,45.26364097898074
GWL30,AUS,Australia,44.92902033145764,45.83652886701945,46.86724335384726
