model,region,abbrevs,names,AI_mean,AI_min,AI_max
CNRM-CM5_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,7,QLDNorth,Queensland North,-0.13537417480594335,-1.0,1.0
CNRM-CM5_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,8,QLDSouth,Queensland South,-0.12092763468494651,-1.0,0.0
CNRM-CM5_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,9,AUS,Australia,-0.1461728537730539,-1.0,1.0
CNRM-CM5__r240x120-ISIMIP2b,0,WANorth,Western Australia North,-0.007322468119297308,-1.0,1.0
CNRM-CM5__r240x120-ISIMIP2b,1,WASouth,Western Australia South,-0.12626990989405143,-1.0,1.0
CNRM-CM5__r240x120-ISIMIP2b,2,NSW,New South Wales and Australian Capital Territory,-0.07669372785751617,-1.0,1.0
CNRM-CM5__r240x120-ISIMIP2b,3,VIC,Victoria,-0.13321872930280088,-1.0,0.0
CNRM-CM5__r240x120-ISIMIP2b,4,SA,South Australia,-0.012251625560708588,-1.0,1.0
CNRM-CM5__r240x120-ISIMIP2b,5,TAS,Tasmania,-0.03200449092320589,-1.0,1.0
CNRM-CM5__r240x120-ISIMIP2b,6,NT,Northern Territory,-0.08940684117640026,-1.0,1.0
CNRM-CM5__r240x120-ISIMIP2b,7,QLDNorth,Queensland North,-0.07381056184810456,-1.0,1.0
CNRM-CM5__r240x120-ISIMIP2b,8,QLDSouth,Queensland South,-0.11126588250673485,-1.0,1.0
CNRM-CM5__r240x120-ISIMIP2b,9,AUS,Australia,-0.07580746582499748,-1.0,1.0
CNRM-CM5_r240x120-MRNBC,0,WANorth,Western Australia North,-0.010979277961217329,-1.0,1.0
CNRM-CM5_r240x120-MRNBC,1,WASouth,Western Australia South,-0.12906035406245264,-1.0,1.0
CNRM-CM5_r240x120-MRNBC,2,NSW,New South Wales and Australian Capital Territory,-0.09844630519074361,-1.0,1.0
CNRM-CM5_r240x120-MRNBC,3,VIC,Victoria,-0.13795950109625713,-1.0,1.0
CNRM-CM5_r240x120-MRNBC,4,SA,South Australia,-0.004741117076962442,-1.0,1.0
CNRM-CM5_r240x120-MRNBC,5,TAS,Tasmania,-0.017331290214537207,-1.0,1.0
CNRM-CM5_r240x120-MRNBC,6,NT,Northern Territory,-0.1419991878629382,-1.0,1.0
CNRM-CM5_r240x120-MRNBC,7,QLDNorth,Queensland North,-0.09538029849909585,-1.0,1.0
CNRM-CM5_r240x120-MRNBC,8,QLDSouth,Queensland South,-0.19734670380261693,-1.0,1.0
CNRM-CM5_r240x120-MRNBC,9,AUS,Australia,-0.10024163031386948,-1.0,1.0
CNRM-CM5_r240x120-QME,0,WANorth,Western Australia North,0.02894913852211565,-1.0,1.0
CNRM-CM5_r240x120-QME,1,WASouth,Western Australia South,-0.12054751770084507,-1.0,1.0
CNRM-CM5_r240x120-QME,2,NSW,New South Wales and Australian Capital Territory,-0.07635620196374801,-1.0,1.0
CNRM-CM5_r240x120-QME,3,VIC,Victoria,-0.12695687652905538,-1.0,0.0
CNRM-CM5_r240x120-QME,4,SA,South Australia,-0.002099045747532091,-1.0,1.0
CNRM-CM5_r240x120-QME,5,TAS,Tasmania,-0.023197490062956176,-1.0,0.0
CNRM-CM5_r240x120-QME,6,NT,Northern Territory,-0.1379343816715773,-1.0,1.0
CNRM-CM5_r240x120-QME,7,QLDNorth,Queensland North,-0.10548474150554597,-1.0,1.0
CNRM-CM5_r240x120-QME,8,QLDSouth,Queensland South,-0.12669868613157223,-1.0,1.0
CNRM-CM5_r240x120-QME,9,AUS,Australia,-0.08175100460877048,-1.0,1.0
GFDL-ESM2M_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,0,WANorth,Western Australia North,-0.12343871241638742,-1.0,0.0
GFDL-ESM2M_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,1,WASouth,Western Australia South,-0.11797716495680774,-1.0,0.0
GFDL-ESM2M_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,2,NSW,New South Wales and Australian Capital Territory,-0.10399638564511024,-1.0,1.0
